"kaupverd";"teg_eign";"svfn";"byggar";"efstah";"haednr";"fjibmhl";"fjmib";"lyfta";"birtm2";"fjhaed";"fjbkar";"fjsturt";"fjklos";"fjeld";"fjherb";"fjstof";"fjgeym";"matssvaedi";"undirmatssvaedi"
19859;"Íbúðareign";1000;"1994";3;2;16;1;0;66.8;1;1;0;1;1;1;1;0;330;0
24000;"Íbúðareign";0;"1963";9;4;35;1;1;91.4;1;1;0;1;1;3;1;1;90;0
63800;"Einbýlishús";0;"1924";2;1;1;1;0;243.1;2;0;1;2;1;5;2;0;25;0
48500;"Íbúðareign";1100;"2009";3;2;26;1;4;144;1;1;1;2;1;3;1;0;400;0
34000;"Einbýlishús";0;"1943";1;1;1;1;0;150.7;2;1;1;2;1;3;2;0;100;0
26200;"Íbúðareign";0;"2005";5;4;19;1;1;99.4;1;1;0;1;1;2;1;0;130;0
30900;"Raðhús";1604;"1988";2;1;1;1;0;107.7;2;1;0;1;1;3;2;0;800;0
23500;"Raðhús";6000;"1979";1;1;1;1;0;146.3;1;1;1;1;1;3;1;0;6040;0
41500;"Einbýlishús";6000;"1987";2;1;1;1;0;224;2;1;1;2;1;4;2;0;6020;0
36500;"Einbýlishús";6000;"1969";1;1;1;1;0;179.4;1;1;0;2;1;3;1;0;6030;0
17900;"Íbúðareign";6000;"1946";1;1;2;1;0;130;1;1;0;1;1;1;2;2;6020;0
25000;"Íbúðareign";1400;"2004";5;5;24;1;1;106.3;1;0;1;1;1;2;1;1;630;0
59500;"Einbýlishús";1400;"1989";1;1;1;1;0;269.8;2;1;2;2;2;5;3;0;650;0
25250;"Íbúðareign";1400;"1957";3;3;3;1;0;111.2;1;0;1;1;1;3;2;1;600;0
17906;"Íbúðareign";1400;"1963";3;1;3;1;0;75.2;1;1;0;1;1;2;1;0;600;0
28800;"Íbúðareign";1000;"2008";4;4;20;1;2;129.9;1;1;1;1;1;3;1;0;351;0
18000;"Íbúðareign";0;"1989";4;3;26;1;1;65.6;1;0;1;1;1;1;1;0;25;0
36000;"Íbúðareign";1100;"1965";3;2;3;1;0;148;1;1;0;1;1;3;1;0;400;0
12300;"Íbúðareign";0;"1980";3;1;12;1;0;42.9;1;0;1;1;1;0;1;0;160;0
25000;"Íbúðareign";0;"1985";3;2;6;1;0;89.2;1;1;1;1;1;2;1;1;85;0
14600;"Íbúðareign";0;"1976";4;4;10;1;0;138.8;1;1;0;1;1;1;1;3;150;22
27400;"Íbúðareign";0;"2004";3;1;24;1;3;113.6;1;1;1;1;1;3;1;0;180;0
28200;"Íbúðareign";0;"1950";3;2;2;1;0;128.4;2;2;0;2;2;2;2;0;90;0
34000;"Íbúðareign";0;"2006";7;4;32;1;3;107.1;1;0;1;1;1;2;1;0;90;46
53700;"Einbýlishús";0;"1990";1;1;1;1;0;183;1;1;0;1;1;3;1;0;120;0
20000;"Íbúðareign";0;"1930";4;3;4;1;0;81.5;1;1;0;1;1;2;2;1;11;0
25500;"Íbúðareign";0;"1935";2;2;3;1;0;121.7;1;1;0;1;1;3;2;1;20;0
15500;"Íbúðareign";0;"1935";2;0;3;1;0;65.1;1;1;0;1;1;1;1;0;20;0
27000;"Íbúðareign";0;"1935";2;1;3;1;0;165.3;1;1;0;1;1;2;3;1;20;0
27300;"Íbúðareign";1300;"2003";2;2;4;1;0;107.2;1;1;1;1;1;3;1;0;700;0
28000;"Íbúðareign";1000;"2007";6;2;16;1;1;140.4;1;1;0;1;1;3;1;0;351;0
36400;"Íbúðareign";1000;"1999";2;2;4;1;0;156.9;1;1;1;1;1;2;1;1;340;0
50000;"Einbýlishús";1000;"1962";2;1;1;1;0;222.2;2;1;0;2;1;6;1;0;320;0
22000;"Íbúðareign";1000;"2007";6;2;16;1;1;103.6;1;1;0;1;1;2;1;0;351;0
29138;"Íbúðareign";1000;"2003";3;1;8;1;0;127.3;1;0;1;1;1;2;1;1;340;0
32000;"Íbúðareign";1000;"2007";9;2;38;1;2;120.4;1;1;1;1;1;2;1;1;320;44
36000;"Einbýlishús";1000;"1955";1;1;1;1;0;136.9;1;1;0;1;1;4;2;0;320;0
42000;"Íbúðareign";1000;"2007";2;2;4;1;0;169.6;1;1;2;2;1;3;1;1;351;0
29800;"Íbúðareign";1000;"2008";5;2;28;1;2;122.7;1;0;1;1;1;2;1;0;350;0
19549;"Íbúðareign";0;"1992";2;1;6;1;0;84;1;1;0;1;1;1;1;1;210;0
32500;"Íbúðareign";0;"1958";2;2;2;1;0;131.1;1;1;0;1;1;2;2;1;281;0
34000;"Íbúðareign";1000;"2007";4;2;26;1;1;166.8;1;1;1;1;1;3;1;0;351;0
21500;"Íbúðareign";0;"1967";3;3;10;1;0;120.4;2;1;0;1;2;3;2;1;200;0
28800;"Íbúðareign";0;"1958";2;1;3;1;0;143.8;1;0;1;2;1;3;1;0;100;0
25000;"Íbúðareign";0;"1967";4;2;3;1;0;85.2;1;0;1;2;1;3;1;0;20;0
15134;"Íbúðareign";0;"1959";4;3;8;1;0;55.6;1;1;0;1;1;1;1;0;80;17
25500;"Íbúðareign";0;"1919";3;2;4;1;0;75.4;1;1;0;1;1;1;1;0;20;0
16900;"Íbúðareign";0;"1962";4;1;8;1;0;74.9;1;1;0;1;1;2;1;2;91;28
32000;"Parhús";1604;"1984";1;1;1;1;0;137;1;1;1;1;1;4;1;1;810;0
13000;"Íbúðareign";0;"1949";3;1;6;1;0;69.4;1;1;0;1;1;1;1;2;80;2
24000;"Íbúðareign";0;"1989";9;4;71;1;2;85.5;1;0;1;1;1;2;1;1;72;0
22550;"Íbúðareign";0;"1975";5;2;8;1;0;114.2;2;0;1;1;1;4;1;1;150;22
27000;"Íbúðareign";1100;"1980";5;4;9;1;0;134.3;2;1;0;1;1;2;2;0;400;0
99900;"Einbýlishús";1100;"1980";1;1;1;1;0;321;2;1;2;2;1;6;1;0;400;0
27900;"Íbúðareign";0;"1998";3;3;4;1;0;141;1;1;0;1;1;2;1;1;130;0
25500;"Íbúðareign";0;"1967";2;2;4;1;0;118.8;1;1;1;1;1;2;1;2;100;0
28000;"Íbúðareign";0;"1945";3;2;4;1;0;122.2;1;1;0;1;1;1;1;0;90;13
143000;"Einbýlishús";1300;"2003";1;1;1;1;0;363.5;1;1;2;2;1;5;2;2;520;0
79900;"Einbýlishús";1300;"1991";2;1;1;1;0;248.7;2;2;1;2;1;5;2;0;500;0
21000;"Íbúðareign";1400;"2005";5;4;29;1;1;75;1;1;0;1;1;1;1;0;600;0
29500;"Íbúðareign";1000;"1997";2;2;2;1;0;99.7;1;1;1;1;1;3;0;1;320;0
17000;"Íbúðareign";1400;"1973";4;1;8;1;0;95.8;1;1;0;1;1;2;1;2;600;0
35500;"Íbúðareign";0;"1952";2;1;2;1;0;174.8;2;1;0;2;1;4;2;1;100;0
22500;"Íbúðareign";0;"1995";3;3;5;1;0;92.8;1;1;0;1;1;3;1;1;130;0
26900;"Íbúðareign";0;"1959";1;1;2;1;0;134.4;1;1;0;1;1;2;2;0;100;1
18500;"Íbúðareign";0;"1964";4;2;12;1;0;87.2;1;1;0;1;1;2;1;2;91;28
16299;"Íbúðareign";0;"1940";2;0;3;1;0;56.5;1;0;1;1;1;2;1;0;72;3
42000;"Einbýlishús";0;"1948";1;1;2;2;0;181.9;1;0;1;2;2;3;3;0;100;0
110000;"Einbýlishús";0;"1941";2;1;1;1;0;379.3;3;0;1;2;1;9;3;4;25;0
22000;"Íbúðareign";0;"1986";4;2;20;1;1;87.6;1;1;0;1;1;2;1;2;220;0
24400;"Íbúðareign";0;"1963";4;4;5;1;0;101.3;1;1;1;1;1;3;1;1;91;0
18850;"Íbúðareign";0;"1943";3;0;3;1;0;70.9;1;1;0;1;1;2;1;0;90;0
27000;"Íbúðareign";0;"1956";4;1;36;1;0;97.2;1;1;0;1;1;3;1;2;72;0
20580;"Íbúðareign";1400;"1991";3;1;14;1;0;101.4;1;1;0;1;1;2;1;0;650;0
19750;"Íbúðareign";1400;"1988";4;3;8;1;0;108.7;1;1;0;1;1;3;1;1;600;0
23210;"Íbúðareign";1400;"2006";6;2;29;1;1;108.4;1;1;0;1;1;3;1;1;630;0
77000;"Einbýlishús";1300;"1969";1;1;1;1;0;350;2;2;1;4;1;6;2;0;560;0
15000;"Íbúðareign";0;"1963";4;0;35;1;0;72.8;1;1;0;1;1;1;1;0;100;1
16600;"Íbúðareign";0;"1939";2;1;6;1;0;56.6;1;0;1;1;1;2;1;0;90;12
14200;"Íbúðareign";0;"1979";9;4;72;1;2;71.2;1;1;0;1;1;1;1;1;170;0
34000;"Íbúðareign";0;"2000";5;4;14;1;1;100.9;1;1;0;1;1;2;1;0;72;0
18400;"Íbúðareign";0;"1978";4;2;20;1;1;78.2;1;0;1;1;1;1;1;0;11;0
23400;"Íbúðareign";0;"1992";3;2;11;1;0;106.4;1;0;1;1;1;3;1;1;130;0
32000;"Íbúðareign";0;"1956";4;1;36;1;0;122.4;1;1;0;2;1;3;2;2;72;0
32000;"Íbúðareign";1100;"1967";3;3;3;1;0;155.4;1;1;0;1;1;4;1;0;400;0
23100;"Íbúðareign";0;"1954";3;3;4;1;0;81.8;1;1;0;1;1;2;2;0;70;0
27000;"Íbúðareign";0;"1981";4;2;16;1;0;87.6;1;0;1;1;1;2;1;0;20;0
47500;"Íbúðareign";1100;"2009";3;2;26;1;4;142.6;1;1;1;2;1;3;1;0;400;0
22700;"Íbúðareign";0;"1963";3;1;14;1;0;88.6;2;1;0;1;1;2;2;1;100;0
19500;"Íbúðareign";0;"1957";4;1;9;1;0;77.4;1;1;1;1;1;2;1;0;11;0
17700;"Íbúðareign";0;"1944";1;1;3;1;0;67.6;1;1;0;1;1;2;1;1;100;0
18200;"Íbúðareign";0;"1967";4;1;13;1;0;59.5;1;1;0;1;1;1;1;1;72;0
23100;"Íbúðareign";0;"1986";3;3;8;1;0;97.4;1;1;0;1;1;2;1;1;120;0
19500;"Íbúðareign";1000;"1979";8;3;48;1;1;97.4;1;1;0;1;1;3;1;0;320;62
16200;"Íbúðareign";0;"1991";3;2;8;1;0;74;1;0;1;1;1;1;1;1;210;0
36000;"Einbýlishús";0;"1949";2;1;1;1;0;277.7;2;1;2;2;2;6;4;0;100;0
43000;"Raðhús";0;"2006";2;1;1;1;0;203.3;2;1;1;2;1;3;1;2;130;0
36000;"Íbúðareign";0;"1970";3;2;6;1;0;127.8;1;1;1;1;1;4;1;0;280;0
21250;"Raðhús";2000;"1984";1;1;1;1;0;154.1;1;1;1;1;1;3;1;0;2050;0
24496;"Raðhús";2000;"1999";1;1;1;1;0;110;1;1;0;1;1;3;1;0;2050;0
27000;"Íbúðareign";1300;"2008";2;2;12;1;2;115.1;1;1;1;1;1;1;1;0;511;0
54500;"Íbúðareign";0;"1931";3;2;3;1;0;210.3;2;2;2;3;1;3;5;0;31;0
